JobID,Job Title,Salary Estimate,NumberofReviews,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,CompanyType,Industry,Sector,Revenue,Competitors,Easy Apply,No.OFApplicants
55,Data Reporting Analyst,$46K-$87K (Glassdoor est.),100,-1,NADAP NYS INC.,"New York, NY",-1,-1,-1,-1,Type 5,-1,-1,-1,-1,-1,229
56,"Principal Data Analyst, LATAM - Disney Streaming Services",$46K-$87K (Glassdoor est.),188,4,"Walt Disney Co.
4.0","New York, NY","Burbank, CA",10000+ employees,1923,Company - Public,Type 5,Motion Picture Production & Distribution,Media,$10+ billion (USD),"News Corp, WarnerMedia, NBCUniversal",-1,148
57,Data Analyst II,$46K-$87K (Glassdoor est.),67,3.2,"Fragomen Worldwide
3.2","New York, NY","New York, NY",1001 to 5000 employees,1951,Company - Private,Type 9,Legal,Accounting & Legal,$500 million to $1 billion (USD),-1,-1,888
58,"Data Analyst - Environmental, Social, and Governance",$46K-$87K (Glassdoor est.),188,3.8,"Bloomberg
3.8","New York, NY","New York, NY",10000+ employees,1981,Company - Private,Type 1,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,"Google, Goldman Sachs, Thomson Reuters",-1,565
59,Data Analyst,$46K-$87K (Glassdoor est.),178,3.9,"Real Capital Analytics
3.9","New York, NY","New York, NY",51 to 200 employees,2000,Company - Private,Type 8,Real Estate,Real Estate,$25 to $50 million (USD),-1,-1,661
60,"Data Analyst, Revenue Analytics",$51K-$88K (Glassdoor est.),188,4.8,"Ro
4.8","New York, NY","New York, NY",51 to 200 employees,2017,Company - Private,Type 3,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,-1,459
61,Data Analyst - Data Acquisition / Data Lineage,$51K-$88K (Glassdoor est.),194,3.6,"Perficient
3.6","New York, NY","Saint Louis, MO",1001 to 5000 employees,1998,Company - Public,Type 2,IT Services,Information Technology,$500 million to $1 billion (USD),-1,-1,669
62,Data Analyst - Data Scanning utilizing Rochade,$51K-$88K (Glassdoor est.),175,3.6,"Perficient
3.6","New York, NY","Saint Louis, MO",1001 to 5000 employees,1998,Company - Public,Type 6,IT Services,Information Technology,$500 million to $1 billion (USD),-1,-1,783
63,Data Analyst - Stitching,$51K-$88K (Glassdoor est.),170,3.6,"Perficient
3.6","New York, NY","Saint Louis, MO",1001 to 5000 employees,1998,Company - Public,Type 1,IT Services,Information Technology,$500 million to $1 billion (USD),-1,-1,22
64,Junior Data Analyst,$51K-$88K (Glassdoor est.),90,4.1,"Kforce
4.1","New York, NY","Tampa, FL",10000+ employees,1966,Company - Public,Type 1,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD),-1,-1,249
65,"Data Analyst, Retail Media",$51K-$88K (Glassdoor est.),128,3.9,"Criteo
3.9","New York, NY","Paris, France",1001 to 5000 employees,2005,Company - Public,Type 4,Internet,Information Technology,$2 to $5 billion (USD),"MediaMath, Conversant, AppNexus",-1,815
66,Data Analyst,$51K-$88K (Glassdoor est.),174,3,"Royal Communications
3.0","New York, NY","New York, NY",1 to 50 employees,-1,Company - Private,Type 5,IT Services,Information Technology,$1 to $5 million (USD),-1,-1,376
67,Portfolio Data Analyst,$51K-$88K (Glassdoor est.),104,3.7,"Neuberger Berman
3.7","New York, NY","New York, NY",1001 to 5000 employees,1939,Company - Private,Type 4,Investment Banking & Asset Management,Finance,$500 million to $1 billion (USD),"Fidelity Investments, BlackRock, Putnam Investments",-1,748
68,Data Science Analyst,$51K-$88K (Glassdoor est.),94,-1,Greater New York Mutual Insurance Companies (GNY),"New York, NY",-1,-1,-1,-1,Type 6,-1,-1,-1,-1,-1,751
69,Data/Reporting Analyst,$51K-$88K (Glassdoor est.),140,3.9,"Diverse Lynx
3.9","New York, NY","Princeton, NJ",501 to 1000 employees,2002,Company - Private,Type 2,IT Services,Information Technology,$100 to $500 million (USD),-1,-1,409
70,Data Analyst 2,$51K-$88K (Glassdoor est.),112,3.7,"eTeam Inc.
3.7","New York, NY","South Plainfield, NJ",51 to 200 employees,1999,Company - Private,Type 1,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),"Artech Information Systems, Mindlance, Tech Mahindra",-1,556
71,Entry Level Data Analyst,$51K-$88K (Glassdoor est.),123,-1,impakt Advisors,"New York, NY","New York, NY",1 to 50 employees,-1,Company - Private,Type 8,Consulting,Business Services,Unknown / Non-Applicable,-1,-1,412
72,Marketing Data Analyst,$51K-$88K (Glassdoor est.),171,3.6,"Current
3.6","New York, NY","Colorado Springs, CO",201 to 500 employees,-1,Company - Public,Type 4,-1,-1,Unknown / Non-Applicable,-1,-1,472
73,Data/Information Mgt Analyst,$51K-$88K (Glassdoor est.),69,3.7,"Citi
3.7","New York, NY","New York, NY",10000+ employees,1812,Company - Public,Type 4,Investment Banking & Asset Management,Finance,$10+ billion (USD),-1,-1,92
74,Business Data Analyst,$51K-$88K (Glassdoor est.),68,3.6,"Axelon Services Corporation
3.6","New York, NY","New York, NY",501 to 1000 employees,-1,Company - Private,Type 1,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),-1,-1,394
75,Information Systems Officer (Data Analyst),$51K-$88K (Glassdoor est.),106,4.1,"United Nations
4.1","New York, NY","New York, NY",10000+ employees,1945,Government,Type 3,Federal Agencies,Government,Unknown / Non-Applicable,-1,-1,170
76,Media Science Big Data Analyst,$51K-$88K (Glassdoor est.),50,3.5,"Discovery Communications, Inc.
3.5","New York, NY","New York, NY",10000+ employees,1985,Company - Public,Type 6,TV Broadcast & Cable Networks,Media,$5 to $10 billion (USD),-1,-1,852
77,Data Analyst,$51K-$88K (Glassdoor est.),137,3.7,"Randstad
3.7","Jersey City, NJ","Atlanta, GA",1001 to 5000 employees,-1,Subsidiary or Business Segment,Type 4,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1,910
78,Data Analyst,$51K-$88K (Glassdoor est.),181,5,"Mulberry Technology
5.0","New York, NY","New York, NY (US), NY",1 to 50 employees,-1,Company - Private,Type 9,-1,-1,Unknown / Non-Applicable,-1,-1,154
79,Data analyst with Python,$51K-$88K (Glassdoor est.),147,4,"Two95 International Inc.
4.0","New York, NY","Cherry Hill, NJ",1 to 50 employees,-1,Company - Private,Type 6,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),-1,-1,114
80,Data Analyst,$51K-$88K (Glassdoor est.),71,4.8,"SoftStandard Solutions
4.8","New York, NY","Fremont, CA",51 to 200 employees,-1,Company - Private,Type 9,-1,-1,Unknown / Non-Applicable,-1,-1,858
81,Data Analyst,$51K-$88K (Glassdoor est.),60,5,"EDO, Inc.
5.0","New York, NY","Los Angeles, CA",1 to 50 employees,-1,Company - Private,Type 2,Internet,Information Technology,Unknown / Non-Applicable,-1,-1,482
82,"Healthcare Data Analyst, Qsight",$51K-$88K (Glassdoor est.),149,3.3,"Guidepoint
3.3","New York, NY","New York, NY",501 to 1000 employees,2003,Company - Private,Type 2,Research & Development,Business Services,Unknown / Non-Applicable,"Coleman Research, AlphaSights, Third Bridge",TRUE,476
83,BA/Data Analyst,$51K-$88K (Glassdoor est.),179,4.1,"Mitchell Martin
4.1","New York, NY","New York, NY",501 to 1000 employees,1984,Company - Private,Type 6,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),-1,-1,484
84,Data Analyst Python,$51K-$88K (Glassdoor est.),70,4,"Lorven Technologies Inc
4.0","New York, NY","Plainsboro, NJ",1 to 50 employees,-1,Company - Private,Type 3,Accounting,Accounting & Legal,Less than $1 million (USD),-1,-1,593
85,"Data Analyst, Bitcoin Trading Firm",$51K-$88K (Glassdoor est.),159,-1,Fintech Recruiters,"New York, NY","Dublin, Ireland",Unknown,-1,Company - Private,Type 8,-1,-1,Unknown / Non-Applicable,-1,-1,812
86,Data Analyst-BA,$51K-$88K (Glassdoor est.),59,1,"Sphinix Network Solutions Inc.
1.0","New York, NY","New York, NY",1 to 50 employees,-1,Company - Private,Type 9,IT Services,Information Technology,Less than $1 million (USD),-1,-1,883
87,Data Analytics Solutions Analyst,$51K-$88K (Glassdoor est.),57,3.1,"Praescient Analytics
3.1","New York, NY","Alexandria, VA",51 to 200 employees,2011,Company - Private,Type 6,Consulting,Business Services,$10 to $25 million (USD),-1,-1,843
88,Quantitative Data Analyst,$51K-$88K (Glassdoor est.),50,4.5,"Global Atlantic Financial Group
4.5","New York, NY","New York, NY",1001 to 5000 employees,2004,Company - Private,Type 1,Insurance Carriers,Insurance,Unknown / Non-Applicable,-1,TRUE,435
89,Data Analyst,$51K-$88K (Glassdoor est.),134,3.4,"FINRA
3.4","New York, NY","Washington, DC",1001 to 5000 employees,2007,Nonprofit Organization,Type 4,Brokerage Services,Finance,$500 million to $1 billion (USD),-1,-1,377
90,Data Analyst,$51K-$87K (Glassdoor est.),180,-1,NYU Langone Medical Center,"New York, NY",-1,-1,-1,-1,Type 9,-1,-1,-1,-1,-1,673
91,"Descriptive Analytics Data Analyst, IB",$51K-$87K (Glassdoor est.),77,3.6,"Jefferies
3.6","New York, NY","New York, NY",1001 to 5000 employees,1962,Company - Public,Type 1,Investment Banking & Asset Management,Finance,$2 to $5 billion (USD),-1,-1,300
92,Data Analyst,$51K-$87K (Glassdoor est.),97,4.1,"RGP
4.1","New York, NY","Irvine, CA",1001 to 5000 employees,1996,Company - Public,Type 9,Consulting,Business Services,$500 million to $1 billion (USD),"Deloitte, Huron Consulting Group, Point B",-1,839
93,Data Analyst,$51K-$87K (Glassdoor est.),71,4.4,"Tachyon Technologies
4.4","New York, NY","Irving, TX",201 to 500 employees,2011,Company - Private,Type 2,IT Services,Information Technology,$10 to $25 million (USD),-1,-1,940
94,Data Analyst,$51K-$87K (Glassdoor est.),185,3.8,"Apex Systems
3.8","Jersey City, NJ","Glen Allen, VA",1001 to 5000 employees,1995,Subsidiary or Business Segment,Type 1,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD),"TEKsystems, Insight Global, Accenture",TRUE,258
95,Data Analyst,$51K-$87K (Glassdoor est.),155,3.2,"Hagerty Consulting
3.2","New York, NY","Evanston, IL",1 to 50 employees,-1,Company - Private,Type 9,Consulting,Business Services,$1 to $5 million (USD),-1,-1,349
96,Data Analyst,$51K-$87K (Glassdoor est.),81,-1,Gainful Health,"New York, NY","San Mateo, CA",1 to 50 employees,-1,Company - Private,Type 1,Food & Beverage Stores,Retail,Unknown / Non-Applicable,-1,-1,270
97,Business Data Analyst,$51K-$87K (Glassdoor est.),159,3.8,"Cortex consultants LLC
3.8","New York, NY","North Brunswick, NJ",501 to 1000 employees,-1,Company - Private,Type 2,Consulting,Business Services,Unknown / Non-Applicable,-1,-1,24
98,Data Analyst,$51K-$87K (Glassdoor est.),200,4.7,"Medly Pharmacy
4.7","Brooklyn, NY","Brooklyn, NY",201 to 500 employees,2017,Unknown,Type 7,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,-1,442
99,Healthcare Data Analyst,$51K-$87K (Glassdoor est.),91,2.3,"Fair Health
2.3","New York, NY","New York, NY",1 to 50 employees,-1,Nonprofit Organization,Type 1,-1,-1,$10 to $25 million (USD),-1,-1,695
100,Supply Chain Data Analyst,$51K-$87K (Glassdoor est.),109,3.8,"Peloton Interactive
3.8","New York, NY","New York, NY",1001 to 5000 employees,2012,Company - Public,Type 7,"Health, Beauty, & Fitness",Consumer Services,Unknown / Non-Applicable,-1,TRUE,601
101,Data Analyst - IBM Tool Set,$51K-$87K (Glassdoor est.),112,4.6,"ektello
4.6","New York, NY","Troy, MI",201 to 500 employees,2011,Company - Private,Type 6,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),-1,-1,432
102,Analyst-Data Integrity,$51K-$87K (Glassdoor est.),111,3,"Premier, Inc.
3.0","New York, NY","Charlotte, NC",1001 to 5000 employees,1967,Company - Public,Type 9,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),-1,-1,786
103,"Reference Data Operations Analyst - Index Instrument, Associate",$51K-$87K (Glassdoor est.),161,3.9,"JPMorgan Chase
3.9","New York, NY","New York, NY",10000+ employees,1799,Company - Public,Type 6,Investment Banking & Asset Management,Finance,$10+ billion (USD),-1,-1,836
104,Data Analyst,$51K-$87K (Glassdoor est.),169,3,"Fund for Public Health
3.0","Long Island City, NY","New York, NY",201 to 500 employees,-1,Nonprofit Organization,Type 2,Social Assistance,Non-Profit,$25 to $50 million (USD),-1,-1,3
105,Data & Service Health Analyst,$51K-$87K (Glassdoor est.),95,4.2,"BlueVoyant
4.2","New York, NY","New York, NY",51 to 200 employees,-1,Company - Private,Type 9,-1,-1,Unknown / Non-Applicable,-1,-1,456
106,Data/Systems Analyst,$51K-$87K (Glassdoor est.),59,5,"Crossfire Consulting Corporation
5.0","New York, NY","Yorktown Heights, NY",51 to 200 employees,-1,Company - Private,Type 8,Consulting,Business Services,$5 to $10 million (USD),-1,-1,194
107,Data Analyst,$51K-$87K (Glassdoor est.),186,4,"Reliable Software Resources
4.0","New York, NY","Northville, MI",501 to 1000 employees,2004,Company - Private,Type 3,IT Services,Information Technology,$50 to $100 million (USD),-1,-1,827
108,Data Analyst,$51K-$87K (Glassdoor est.),138,-1,Hyde Leadership Brooklyn,"Brooklyn, NY","Brooklyn, NY",51 to 200 employees,-1,School / School District,Type 2,-1,-1,Unknown / Non-Applicable,-1,-1,178
109,Data Analyst,$51K-$87K (Glassdoor est.),197,-1,Vertex Intel Systems,"Jersey City, NJ",-1,-1,-1,-1,Type 7,-1,-1,-1,-1,-1,2
110,Data Analyst Intern,$51K-$87K (Glassdoor est.),78,3.6,"My Job Tank
3.6","Jersey City, NJ","New York, NY",51 to 200 employees,-1,Company - Private,Type 7,IT Services,Information Technology,Unknown / Non-Applicable,-1,TRUE,461
